,name,category_1,category_2,origin,description
2742,Marzalmicks Courest Asparko Cabernet Sauvignon 20004,Red Wine,Cabernet Sauvignon,Chile,"This wine is deep garnet in color with violet tones.  Aromas include ripe cherries, currants, and spices with a touch of pepper.  The mouthfeel is medium to full-bodied with rich, round tannins, good acidity, and long finish.  The wine is best consumed with grilled red and white meats, particularly those grilled in red wine sauces."
2743,Zolfour Dello Vy Vineyard Chard-Tlondoda Vietton Brute 2006,Red Wine,Other Red Blends,"Napa Valley, California","Vibrant aromas of blackberries, cherries, and vanilla. Flavors mirror aromas with vanilla, sweet spices, vanilla, and toast. The mouth feel is full bodied with firm yet supple tannins and very balanced acidity. The finish is long with lingering fruit and spice."
2744,Chateau Moutantierie St. Jean Sanonett Premier Cru Comazei Valley CAm. Toncane Cabernet Sauvignon 2000,Red Wine,Cabernet Sauvignon,"Comazei Valley, Chile","Comazei Valley is located in the Casablanca Valley of Chile. This wine is an excellent match for grilled, roasted and grilled fish."
2745,Kentoma Frensapo Pinot Grigio 2000,White Wine,Pinot Gris/Grigio,"Willamette Valley, Oregon","Fruit aromas are very distinctive, with aromas of pear, citrus and honeysuckle. The flavor is of fresh, crisp, and slightly sweet, with ripe, juicy fruit flavors. The mouthfeel is round and soft, with well-integrated oak tones on the finish.   The wine shows excellent balance between the acidity and sweetness, with a long, pleasing finish.   The wine is very enjoyable now, and will cellar well for 2- 3 years.  This wine can be paired with grilled fish, especially Northwest Salmon, poultry, shellfish in cream sauce, salads, light pasta dishes and cream based sauces."
2746,Mungia Estate Hice Ridge Reekers Valley Pinot Noir 2006,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Aromas of black cherries, spices and vanilla, with a hint of oak and fresh earthiness. Flavors mirror aromas with flavors of cherry, vanilla, and spice, with a touch of mineral. The mouthfeel is soft and silky, with soft, round tannins. The finish is long and lingering with soft, lingering acidity."
2747,BolRerda Fosota Blanctionia Anco Brigno dela 2003,Red Wine,Other Red Blends,Spain,"Ancós was first produced in 1996, and is the flagship wine of Spain's renowned AOC “Fosota” wine region.  Bolerda Fosota, meaning ‘Greatness, Range, Range’, is a blend of 60% Garnacha, 40% Syrah, 10% Cariñena, 10% Mourvedre, 10% Cinsault and 10% Counoise.  This is an attractive, well-rounded, easy-drinking wine with fresh fruit flavors and aromas.    The name means “a place where you can drink wine,” which is the perfect combination for a good meal."
2748,Woing Brilo Montagno Spatella 2010,White Wine,Other White Blends,"Trentino-Alto Adige, Italy","Spatella is an unusual white wine that is produced from a blend of three different grape varieties.  It is the most structured wine of the appellation.  The vineyards are located in the Tre Vigne area and the Neive area.  The grapes for Spatella are harvested early in the season when the sugar level is at the optimum level.  The grapes are then kept on the skins for 3 to 4 weeks before pressing.  The wine is then aged in wood barrels for 4 months before being bottled.   Aged for 6 months in steel and in stainless steel tanks before being pressed.   It is an extremely versatile wine that can be paired with a wide range of foods, especially lighter meals, fish, shellfish, pasta, grilled vegetables, pasta sauces, white meats, vegetable soups and Asian dishes."
2749,Forboldi Sele Cabernet Sauvignon 2009,Red Wine,Cabernet Sauvignon,"Mendoza, Argentina","Vibrant ruby red color with intense aromas of red fruit, black cherry, and spices. Full-bodied, rich and complex on the palate, with ripe tannins, good acidity and well-balanced acidity. Long and pleasant finish."
2750,Perasel Cabernet Sauvignon 2014,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The 2014 Cabernet Sauvignon is ruby in color with aromas of blackberry, plum and cassis with hints of cocoa and roasted coffee. The mouthfeel is soft and round with round flavors of blackberry, dark chocolate, and sweet toasted oak. The flavors mirror aromas with flavors of ripe cherry and red currants with a touch of black pepper. irrelevant."
2751,Williana Cellar Vineyard Zinfandel 2016,Red Wine,Zinfandel,"Lodi, California","The 2016 Williana Vineyard Zinfandel is a very aromatic wine with black cherry and currant fruit flavors, with notes of chocolate and earthiness. The mouthfeel is round and rich, with great volume and good weight on the mid-palate and long finish.  with"
2752,Kim Heiighoton Pinot Noir 2016,Red Wine,Pinot Noir,"Yamhill-Carlton District, Willamette Valley, Oregon","The Heiighoton Vineyard is located in the Yamhill-Carlton AVA, just popularity-stacked with a few hundred hundred thousand vines, the oldest dating back to 2002. The wine is a classic, complex and well-balanced Pinot Noir with aromas of ripe cherry, blueberry and spice. The mouthfeel is soft and supple, with round, round and round tannins that round out theextensive finish. The wine is ready to drink now and will cellar well for up to five years."
2753,Sea'Picact Clantingle Merlot 1997,Red Wine,Merlot,Chile,"Aged for 9 months in French oak, this wine has a garnumniati hue.  The aromas are full of ripe, round, juicy fruit with hints of vanilla, toast, and sweet toast.  The mouthfeel is soft, round, and well-rounded with soft, round, and well-integrated tannins.  The finish is long and fruity.  The wine is an excellent companion for Mediterranean foods, particularly grilled and lightly smoked."
2754,Goules Baron Pinot Noir 2009,Red Wine,Pinot Noir,"Willamette Valley, Oregon","This is a classic example of the Willamette Valley.  Its color is medium garnet and is very pretty, with attractive orange hues.  Aromas are classic Oregon.  This wine shows aromas of cherry, strawberry, black tea, tea leaves and earthy minerals.  On the palate, it has soft and sweet flavors of raspberry and raspberry compote.  The mouthfeel is medium bodied, with medium acidity and good structure.  Flavors mirror aromas with bright acidity and well balanced tannins.  It has good length on the finish.  The wine is an excellent companion for grilled fish, especially Northwest Salmon, poultry and roasted vegetables.  This wine can be paired with grilled fish, poultry, roasted vegetables and Asian dishes."
2755,Galbiablesta Valley Bruchet Blend 2013,Red Wine,Other Red Blends,"Sicily, Italy","Deep ruby red color with violet hues.  The nose offers very ripe red and black fruits with good intensity and finesse.  On the palate, it is full-bodied, rich and fruity with ripe, round tannins and a long, fresh finish.   It is a wine to be served with hearty foods such as pasta with meat sauces, roasted vegetables, roasted meats, pied-de-cuisine, and cheese.  It is also excellent with grilled meats, hearty dishes, game, and mild cheeses."
2756,Hiay Rifgnon Jas Riesling 2013,White Wine,Riesling,"Mosel, Germany","This Riesling is perfect for sipping on its Callsign, or with a variety of seafood such as lobster, crab, crab-shells, scallops, and crabmeat.   with cream soups, fowl, salads, and seafood dishes with green sauces."
2757,Heflents Bewungevaix Vino Syrah 2000,Red Wine,Syrah/Shiraz,Australia,"The bouquet is very intense with dried fruit characters, mainly plums, cherries, blackberries, licorormal and spice. The palate is rich and spicy with subtle, well-integrated oak. The wine is well-balanced with soft, sweet tannins, a rich mouth feel and good acidity."
2758,Bayter Syrah Cabernet Sauvignon 2001,Red Wine,Cabernet Sauvignon,New Zealand,"Nose: Aromas are intense with ripe, sweet, sweet and spicy aromas.  The aromas are very attractive and fresh with fresh ripe and dried fruit flavours with subtle earthy undertones.  The palate is rich and soft with ripe, sweet, ripe and sweet tannins that are well-integrated and well-balanced.  The finish is long, spicy, long and fresh."
2759,Marzheeman Ton S3 Filis Inice & Cabinet Sanamit 1999,White Wine,Other White Blends,Chile,"Tina Maria, a specialist in winegrowing in Chile, started to create a wine of great complexity.  The color is a vibrant yellow with golden hues.  The nose is fresh and fruity with hints of citrus fruit.  The mouthfeel is full and smooth with refreshing acidity.  The aftertaste is fresh and persistent with pleasant mineral tones.  This wine is well-suited to a wide variety of foods including pasta, poultry, white meats, white fish, light salads, shellfish, creamy sauces, and fresh cheeses."
2760,Lise Saint Giajrages Lorey-Pongigen Vhite 2014,White Wine,Chardonnay,"Burgenland, Austria","From vineyards that are located in Vastel and Merel, the Lorey-Pongigen Vhite is a pale yellow wine with greenish tones. The nose is very fresh with a hint of mineral and salty aromas. The palate is very fresh with fruit, lemon and grapefruit flavors. A fresh, balanced wine with a long, juicy finish."
2761,Steeser Joufford Family Cabernet Sauvignon 1996,Red Wine,Cabernet Sauvignon,"Napa Valley, California","In the glass the 1996 Cabernet Sauvignon is a deep, intense garnet. The aromas show intense aromas of blackberries, currants and cherries, with spicy overtones of nutmeg, leather, earth and toast. The flavors mirror aromas with complex layers of blackberries, currants, cherries and sweet oak. The mouth feel is soft, round, and very well balanced. The mouthfeel is medium-bodied with round, rich, ripe tannins, yet with a lively, refreshing acidity that provides an overall impression of freshness. The finish is long, smooth and well-rounded. The fruit intensity is confirmed in the mouth feel and fruit flavors are supported by supple, well-integrated oak, which lends to the overall impression of richness and structure. The finish is long and full of flavor with lingering mineral overtones. The wine will cellar well for up to five years, and will continue to improve for the next four to five years. The 1996 vintage was exceptional, and the 1996 vintage of this wine is exceptional. The wine will continue to improve for at cellar temperature for the next 5 to 7 years."
2762,Breker Veltwullil Halbelt Reserve Cabernet Sauvignon 2014,Red Wine,Cabernet Sauvignon,Chile,"The 2014 vintage of ‘Hal belt’ is an elegant wine with rich aromas and flavors of cassis, blackberry, and black pepper. The wine is soft, supple, and well-balanced with good length and a pleasant finish. Enjoy with steak, rack of lamb, or pasta with rich sauces."
2763,Bron Colrera Classico Caskino Tarre 2001,Red Wine,Other Red Blends,"Tuscany, Italy","Complex, with complex, intense aromas, with well-integrated notes of sweet blackberries and violets, complemented by spices, leather and a hint of vanilla. The taste is generous, warm, and pleasant with well-balanced acidity. The tannins are soft, velvety and round."
